and,11111111,11111111
or,11111111,11111111
and,00000000,00000000
or,00000000,00000000
and,00000000,11111111
or,00000000,11111111
and,1,0
or,1,0
and,1,1
or,1,1
and,11111111,11111111
or,11111111,11111111
and,00000000,00000000
or,00000000,00000000
and,00000000,11111111
or,00000000,11111111
and,1,0
or,1,0
and,1,1
or,1,1
and,11111111,11111111
or,11111111,11111111
and,00000000,00000000
or,00000000,00000000
and,00000000,11111111
or,00000000,11111111
and,1,0
or,1,0
and,1,1
or,1,1
and,11111111,11111111
or,11111111,11111111
and,00000000,00000000
or,00000000,00000000
and,00000000,11111111
or,00000000,11111111
and,1,0
or,1,0
and,1,1
or,1,1
and,11111111,11111111
or,11111111,11111111
and,00000000,00000000
or,00000000,00000000
and,00000000,11111111
or,00000000,11111111
and,1,0
or,1,0
and,1,1
or,1,1
and,11111111,11111111
or,11111111,11111111
and,00000000,00000000
or,00000000,00000000
and,00000000,11111111
or,00000000,11111111
and,1,0
or,1,0
and,1,1
or,1,1
and,11111111,11111111
or,11111111,11111111
and,00000000,00000000
or,00000000,00000000
and,00000000,11111111
or,00000000,11111111
and,1,0
or,1,0
and,1,1
or,1,1
and,11111111,11111111
or,11111111,11111111
and,00000000,00000000
or,00000000,00000000
and,00000000,11111111
or,00000000,11111111
and,1,0
or,1,0
and,1,1
or,1,1
and,11111111,11111111
or,11111111,11111111
and,00000000,00000000
or,00000000,00000000
and,00000000,11111111
or,00000000,11111111
and,1,0
or,1,0
and,1,1
or,1,1
and,11111111,11111111
or,11111111,11111111
and,00000000,00000000
or,00000000,00000000
and,00000000,11111111
or,00000000,11111111
and,1,0
or,1,0
and,1,1
or,1,1
and,11111111,11111111
or,11111111,11111111
and,00000000,00000000
or,00000000,00000000
and,00000000,11111111
or,00000000,11111111
and,1,0
or,1,0
and,1,1
or,1,1
and,11111111,11111111
or,11111111,11111111
and,00000000,00000000
or,00000000,00000000
and,00000000,11111111
or,00000000,11111111
and,1,0
or,1,0
and,1,1
or,1,1
and,11111111,11111111
or,11111111,11111111
and,00000000,00000000
or,00000000,00000000
and,00000000,11111111
or,00000000,11111111
and,1,0
or,1,0
and,1,1
or,1,1
and,11111111,11111111
or,11111111,11111111
and,00000000,00000000
or,00000000,00000000
and,00000000,11111111
or,00000000,11111111
and,1,0
or,1,0
and,1,1
or,1,1
and,11111111,11111111
or,11111111,11111111
and,00000000,00000000
or,00000000,00000000
and,00000000,11111111
or,00000000,11111111
and,1,0
or,1,0
and,1,1
or,1,1
and,11111111,11111111
or,11111111,11111111
and,00000000,00000000
or,00000000,00000000
and,00000000,11111111
or,00000000,11111111
and,1,0
or,1,0
and,1,1
or,1,1
and,11111111,11111111
or,11111111,11111111
and,00000000,00000000
or,00000000,00000000
and,00000000,11111111
or,00000000,11111111
and,1,0
or,1,0
and,1,1
or,1,1
and,11111111,11111111
or,11111111,11111111
and,00000000,00000000
or,00000000,00000000
and,00000000,11111111
or,00000000,11111111
and,1,0
or,1,0
and,1,1
or,1,1


